datetime	open	high	low	close	volume
03.06.2024 14:07	307.93	307.96	307.65	307.65	15685
03.06.2024 14:08	307.65	307.76	307.57	307.7	18712
03.06.2024 14:09	307.71	307.84	307.66	307.75	14405
03.06.2024 14:10	307.75	307.76	307.57	307.57	14471
03.06.2024 14:11	307.58	307.58	307.5	307.51	23583
03.06.2024 14:12	307.51	307.99	307.5	307.95	22760
03.06.2024 14:13	307.95	307.99	307.93	307.96	18738
03.06.2024 14:14	307.96	307.99	307.95	307.99	13857
03.06.2024 14:15	307.99	308.2	307.98	308.2	8864
03.06.2024 14:16	308.18	308.36	308.17	308.36	15650
03.06.2024 14:17	308.36	308.47	308.34	308.46	20007
03.06.2024 14:18	308.4	308.5	308.0	308.03	19090
03.06.2024 14:19	308.03	308.05	307.68	307.78	22551
03.06.2024 14:20	307.79	307.79	307.56	307.57	7075
03.06.2024 14:21	307.57	307.6	307.5	307.53	11343
03.06.2024 14:22	307.52	307.55	307.5	307.51	5856
03.06.2024 14:23	307.51	307.51	307.03	307.04	20128
03.06.2024 14:24	307.03	307.04	306.81	306.85	24264
03.06.2024 14:25	306.86	306.99	306.7	306.98	18579
03.06.2024 14:26	306.99	306.99	306.96	306.98	10453
03.06.2024 14:27	306.99	306.99	306.94	306.99	17286
03.06.2024 14:28	306.98	306.99	306.96	306.98	11235
03.06.2024 14:29	306.98	307.04	306.97	307.03	7836
03.06.2024 14:30	307.04	307.06	306.9	306.99	11855
03.06.2024 14:31	307.0	307.0	306.5	306.51	25344
03.06.2024 14:32	306.5	306.5	306.0	306.03	48660
03.06.2024 14:33	306.06	306.15	306.0	306.04	34606
03.06.2024 14:34	306.02	306.05	305.54	305.54	42960
03.06.2024 14:35	305.54	305.95	305.52	305.95	22535
03.06.2024 14:36	305.95	305.95	305.85	305.86	22415
03.06.2024 14:37	305.86	305.86	305.65	305.75	11928
03.06.2024 14:38	305.78	305.78	305.6	305.68	12141
03.06.2024 14:39	305.68	305.75	305.68	305.74	15152
03.06.2024 14:40	305.74	305.75	305.56	305.58	12141
03.06.2024 14:41	305.56	305.61	305.31	305.44	23367
03.06.2024 14:42	305.44	305.5	305.3	305.3	9673
03.06.2024 14:43	305.31	305.31	305.11	305.11	18277
03.06.2024 14:44	305.15	305.64	305.11	305.55	20340
03.06.2024 14:45	305.59	306.07	305.53	306.07	21072
03.06.2024 14:46	306.04	306.17	305.99	306.06	14035
03.06.2024 14:47	306.06	306.11	306.0	306.01	13965
03.06.2024 14:48	306.01	306.01	306.0	306.0	17988
03.06.2024 14:49	306.0	306.01	305.29	305.29	13078
03.06.2024 14:50	305.31	305.64	305.25	305.6	18008
03.06.2024 14:51	305.61	305.62	305.31	305.32	6238
03.06.2024 14:52	305.31	305.33	305.21	305.33	7224
03.06.2024 14:53	305.33	305.4	305.31	305.32	9055
03.06.2024 14:54	305.31	305.31	305.14	305.14	22822
03.06.2024 14:55	305.14	305.16	305.0	305.16	28622
03.06.2024 14:56	305.15	305.34	305.15	305.33	14811
03.06.2024 14:57	305.33	305.77	305.33	305.75	16069
03.06.2024 14:58	305.75	306.27	305.74	305.99	16686
03.06.2024 14:59	305.98	306.29	305.9	306.29	11180
03.06.2024 15:00	306.3	306.3	306.0	306.05	9749
03.06.2024 15:01	306.05	306.21	306.0	306.0	10870
03.06.2024 15:02	306.01	306.1	306.0	306.02	14697
03.06.2024 15:03	306.02	306.09	305.89	305.9	19813
03.06.2024 15:04	305.9	305.91	305.71	305.89	8565
03.06.2024 15:05	305.88	306.67	305.88	306.6	16592
03.06.2024 15:06	306.59	307.2	306.55	307.18	16330
03.06.2024 15:07	307.17	307.59	307.16	307.57	23734
03.06.2024 15:08	307.57	307.79	307.24	307.3	19760
03.06.2024 15:09	307.3	307.66	307.29	307.66	16599
03.06.2024 15:10	307.65	308.0	307.64	307.98	17615
03.06.2024 15:11	307.95	308.0	307.64	307.69	14707
03.06.2024 15:12	307.69	307.72	307.26	307.32	14852
03.06.2024 15:13	307.3	307.31	307.03	307.16	6370
03.06.2024 15:14	307.16	307.46	307.16	307.4	4651
03.06.2024 15:15	307.39	307.7	307.28	307.69	4613
03.06.2024 15:16	307.69	308.13	307.68	308.13	13714
03.06.2024 15:17	308.09	308.09	307.55	307.61	8495
03.06.2024 15:18	307.61	307.61	307.27	307.4	5508
03.06.2024 15:19	307.36	307.4	307.22	307.27	4474
03.06.2024 15:20	307.27	307.39	307.27	307.28	1601
03.06.2024 15:21	307.28	307.28	306.7	306.71	12020
03.06.2024 15:22	306.71	306.86	306.7	306.81	5167
03.06.2024 15:23	306.81	306.99	306.54	306.95	12034
03.06.2024 15:24	306.94	307.2	306.94	307.14	10879
03.06.2024 15:25	307.12	307.73	307.01	307.66	9140
03.06.2024 15:26	307.66	307.66	307.27	307.64	5943
03.06.2024 15:27	307.64	307.93	307.6	307.89	7871
03.06.2024 15:28	307.89	307.89	307.5	307.75	9156
03.06.2024 15:29	307.71	307.94	307.7	307.9	8450
03.06.2024 15:30	307.9	307.9	307.7	307.81	4029
03.06.2024 15:31	307.8	307.88	307.8	307.82	3475
03.06.2024 15:32	307.81	308.2	307.8	308.17	11201
03.06.2024 15:33	308.2	308.49	308.2	308.49	24298
03.06.2024 15:34	308.48	308.85	308.41	308.77	37315
03.06.2024 15:35	308.73	308.81	308.69	308.77	17502
03.06.2024 15:36	308.76	308.77	308.1	308.42	12823
03.06.2024 15:37	308.41	308.41	308.21	308.22	9334
03.06.2024 15:38	308.21	308.25	308.05	308.08	6318
03.06.2024 15:39	308.08	308.08	307.73	307.75	10363
03.06.2024 15:40	307.76	307.93	307.74	307.85	5691
03.06.2024 15:41	307.87	307.92	307.65	307.77	3382
03.06.2024 15:42	307.77	307.89	307.68	307.75	3165
03.06.2024 15:43	307.77	308.5	307.75	308.45	12871
03.06.2024 15:44	308.46	308.47	307.99	308.0	9864
03.06.2024 15:45	308.0	308.0	307.8	307.81	2262
03.06.2024 15:46	307.8	307.81	307.65	307.76	5552
03.06.2024 15:47	307.76	307.77	307.51	307.52	7699
03.06.2024 15:48	307.52	307.57	307.51	307.56	4210
03.06.2024 15:49	307.57	307.73	307.56	307.61	3827
03.06.2024 15:50	307.61	307.65	307.58	307.61	1953
03.06.2024 15:51	307.6	307.76	307.6	307.74	4037
03.06.2024 15:52	307.73	307.76	307.73	307.74	3850
03.06.2024 15:53	307.74	307.77	307.74	307.76	3492
03.06.2024 15:54	307.76	307.94	307.75	307.87	13032
03.06.2024 15:55	307.87	308.04	307.81	308.03	7576
03.06.2024 15:56	308.04	308.07	308.0	308.01	4872
03.06.2024 15:57	308.01	308.06	308.0	308.01	5972
03.06.2024 15:58	308.02	308.13	308.01	308.1	5947
03.06.2024 15:59	308.1	308.1	308.0	308.01	3449
03.06.2024 16:00	308.01	308.01	307.52	307.52	22572
03.06.2024 16:01	307.52	307.56	307.32	307.36	8392
03.06.2024 16:02	307.37	307.6	307.31	307.32	3623
03.06.2024 16:03	307.35	307.38	307.2	307.28	4012
03.06.2024 16:04	307.3	307.3	307.19	307.2	2362
03.06.2024 16:05	307.2	307.34	307.2	307.24	3359
03.06.2024 16:06	307.24	307.65	307.23	307.63	2619
03.06.2024 16:07	307.61	307.67	307.51	307.55	3764
03.06.2024 16:08	307.53	307.8	307.53	307.75	4877
03.06.2024 16:09	307.75	307.76	307.49	307.53	1782
03.06.2024 16:10	307.53	307.64	307.5	307.63	941
03.06.2024 16:11	307.64	307.74	307.57	307.71	3565
03.06.2024 16:12	307.71	307.71	307.59	307.63	2433
03.06.2024 16:13	307.67	307.71	307.63	307.67	2032
03.06.2024 16:14	307.67	307.71	307.6	307.63	3971
03.06.2024 16:15	307.6	307.65	307.5	307.52	6403
03.06.2024 16:16	307.53	307.65	307.5	307.65	2221
03.06.2024 16:17	307.65	307.76	307.53	307.75	5809
03.06.2024 16:18	307.76	308.2	307.66	308.16	32342
03.06.2024 16:19	308.16	308.46	308.15	308.46	15970
03.06.2024 16:20	308.42	308.48	308.34	308.41	9567
03.06.2024 16:21	308.41	308.5	308.4	308.5	12251
03.06.2024 16:22	308.5	308.71	308.49	308.51	11951
03.06.2024 16:23	308.51	308.51	308.35	308.49	4289
03.06.2024 16:24	308.5	308.72	308.45	308.61	15118
03.06.2024 16:25	308.61	308.73	308.54	308.64	8625
03.06.2024 16:26	308.64	309.0	308.62	308.86	36126
03.06.2024 16:27	308.85	308.86	308.71	308.71	4435
03.06.2024 16:28	308.72	308.88	308.71	308.76	5341
03.06.2024 16:29	308.76	308.78	308.62	308.62	6565
